POREWATER,,,,,,,,,,,,,,WATER COLUMN,,,,,,,,,,Solid phase,,,,,,,IAPSO,,,,C14,,,,
"Porewater data: alkalinity (Fig 4), DIC (Fig 5), 13C (Fig 6), Ca (Fig 7), in situ pH (Fig 8), Mn (Fig 9), Omega_calcite (Fig 11), Sr (Fig 12), and Keeling analysis (Fig S.3)",,,,,,,,,,,,,,Water column dataa of dissolved oxygen and omega_calcite (Fig 2) and water column DIC comparison (Fig S.2),,,,,,,,,,Solid phase data from cores (Fig 10),,,,,,,IAPSO seawater standards (Fig S.1),,,,Foram C14  calendar ages (Fig S.4),,,,
Sample ID,Station,Water Column Depth (m),Sediment Depth (cm),Alkalinity (μmol/kg),pH (in situ),Silica (μM),DIC (μmol/kg),𝛿13C of DIC (‰),Mn +2 (μmol/kg),Ca +2 (mM),Sr +2 (mM),Omega_calcite (pH/Alk),,Station,Water Column Depth (m),Pressure (decibars),Temperature (°C),Salinty (ppt),Alkalinity (μmol/kg),pH input (lab),DIC (μmol/kg),Omega_calcite (pH/Alk),,Station,Water Column Depth (m),Sediment Depth (cm),Porosity (%),% CaCO3,% Organic C,,Ca (mmol/kg),Sr (umol/kg),Na (mmol/kg),,Station,Water Column Depth (m),Sediment Depth (cm),Foram species,C14 calendar age (yr)
CR1-2-29a,1,3223,7.3,2520.21,n.d.,305,2541.4,n.d.,n.d.,n.d.,n.d.,n.d.,,1,40.64,40.87,16.89,34.78,2291.86,7.655,n.d.,2.34,,3,1630,3.5,76.43,78.18,0.56,,,,,,,,,,
CR1-2-31a,1,3223,8.3,2586.9,n.d.,318.5,2575.7,n.d.,n.d.,n.d.,n.d.,n.d.,,1,31.19,31.36,18.81,34.69,2286.71,7.697,n.d.,2.57,,3,1630,4.5,75.23,77.38,0.56,,,,,,,,,,
CR1-2-32,1,3223,8.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,1,20.53,20.64,25.19,33.32,2194.12,7.952,n.d.,4.12,,3,1630,5.5,75.49,75.86,0.52,,,,,,,,,,
CR1-2-33a,1,3223,13.8,2782.69,n.d.,n.d.,2658.2,n.d.,n.d.,n.d.,n.d.,n.d.,,1,16.37,16.46,25.88,33.1,2180.59,7.983,1936.6,4.34,,3,1630,6.5,74.91,76.47,0.4,,,,,,,,,,
CR1-2-34,1,3223,14.8,2816.31,7.674,388.5,2693.4,-1.97,71.44,10.39,84.86,0.88,,2,2639.98,2671.59,1.83,34.67,2436.16,7.522,2364.2,0.94,,3,1630,7.5,74.01,77.97,0.38,,,,,,,,,,
CR1-2-35a,1,3223,15.8,2760.4,n.d.,371,2618.2,n.d.,n.d.,n.d.,n.d.,n.d.,,2,2594.57,2625.35,1.84,34.67,2435.52,7.52,2366.2,0.95,,3,1630,8.5,74.3,79.19,0.27,,,,,,,,,,
CR1-2-46,1,3223,6.5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,2,2524.51,2554.04,1.86,34.66,2433.99,7.517,2370.9,0.96,,3,1630,9.5,73.62,78.99,0.39,,,,,,,,,,
CR1-2-48a,1,3223,7.5,2604.54,n.d.,311.3,2589.6,n.d.,n.d.,n.d.,n.d.,n.d.,,2,2425.16,2452.95,1.95,34.66,2430.81,7.512,2371.3,0.97,,3,1630,11,73.65,78.29,0.15,,,,,,,,,,
CR1-2-49,1,3223,8,2533.54,7.448,323.9,2595,-1.44,0.01,10.37,84.79,0.48,,2,2275.3,2300.56,2.08,34.65,2426.38,7.507,2360.9,0.99,,3,1630,13,75.17,78.25,0.24,,,,,,,,,,
CR1-2-50a,1,3223,8.5,2629.16,n.d.,341.5,2574.3,n.d.,n.d.,n.d.,n.d.,n.d.,,2,2075.38,2097.42,2.28,34.64,2422.78,7.491,2361.2,0.99,,3,1630,15,75.66,77.01,0.46,,,,,,,,,,
